location_group,location_type,location_code,location,latitude,longitude
Mobil,Otobus 4G,IETT-M2357,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3070,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3100,IETT Otobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1847,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3122,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1009,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5036,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5020,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3109,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3177,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1569,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3059,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Belnet,IETT-BLNT-34FCZ535,Belnet Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1292,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,IGDAS_Kartal,KARTAL,40.8930400000,29.1950700000
Mobil,Otobus 4G,IETT-B5353,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1543,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5259,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5215,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-O5036,IETT Metrobus,0.0000000000,0.0000000000
Koyler,Koy,070-Catalca Karamandere Koyu Meydan,ÇATALCA,41.3761400000,28.3055800000
Mobil,Otobus 4G,IETT-O2200,IETT Otobus,0.0000000000,0.0000000000
Yesil Alan,Park,031-Macka Demokrasi Parki,ŞİŞLİ,41.0481500000,28.9917800000
Mobil,Otobus 4G,IETT-O2228,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-T1009,IETT Otobus,0.0000000000,0.0000000000
Koyler,Koy,070-Arnavutkoy Baklali Koyu Meydan,ARNAVUTKÖY,41.2587100000,28.6536900000
Mobil,Otobus 3G,IETT-K1528,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,METRO-M2-11-Sanayi,SARIYER,41.0945700000,29.0053100000
Mobil,Otobus 4G,IETT-B5090,IETT Otobus,0.0000000000,0.0000000000
Metrobus Duragi,Metrobus Duragi,069-Zincirlikuyu Metrobus Duragi,ŞİŞLİ,41.0662300000,29.0127100000
Mobil,Metrobus,Metrobus-M4910,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1860,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1540,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3191,IETT Metrobus,0.0000000000,0.0000000000
Tramvay Istasyonu,Istasyon,IETT-Kadikoy Moda Nostaljik Tramvay-B210,NOSTALJİK TRAMVAY,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M4538,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4753,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2554,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2214,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1089,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3083,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2229,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5312,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Itfaiye,007-Avcilar Itfaiye,AVCILAR,40.9935300000,28.7129600000
Mobil,Otobus 3G,IETT-O2289,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2092,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2166,IETT Otobus,0.0000000000,0.0000000000
